Локосово;HAH1;61.13578;74.84120;43;35;35;Твёрдое (бетон)
Карабашское 2;HH1G;59.99337;63.88497;80;28;28;Твёрдое
Талинка;HB3T;61.53975;66.45230;55;23;23;Твёрдое
Комсомольский;XSSJ;61.26913;63.13812;110;2500;56;Нетвёрдое (грунт)
122-й км;HB39;62.93657;62.02370;60;24;24;Твёрдое
Шеркалы;HB31;62.76479;65.46968;64;18;18;Твёрдое (бетон)
Стойбище Владимира Сопочина;HJ2D;62.89120;74.66770;98;;;
Каменное;HAC6;61.58588;67.47670;27;24;18;Твёрдое
Пырьях;HAN6;61.40245;69.21860;35;15;15;Твёрдое
Беркут;HD4M;61.31102;73.68295;41;30;20;Твёрдое (бетон)
Радужный-2;HG00;62.10902;77.66598;75;25;25;Твёрдое
Мостоотряд;HAI9;60.99398;68.92512;30;20;20;Твёрдое (асфальтобетон)
Хой;HB9G;60.35642;67.60197;80;;;
Компания МТА;HB95;61.24720;73.52867;29;15;12;Твёрдое (бетон)
Колекъеган;HAD5;61.73105;79.12285;55;605;45;Нетвёрдое (грунт)
ЦЗС;HB7T;60.15340;71.48495;58;;;
КС-5;HCV8;60.56355;72.54912;96;50;50;Твёрдое (бетон)
Урай;USHU;60.10735;64.82590;60;2305;44;Твёрдое (железобетон)
Мегион (Северный);USNM;61.07193;76.12145;45;115;25;Твёрдое
ЛПДС Конда, 108-й км;HB3D;59.58512;65.85492;73;12;12;Твёрдое
ЦАРС;HA8I;61.00030;76.44637;49;;;
Пашторы;HAN0;63.72920;65.45333;6;23;23;Твёрдое (бетон)
ДНС-2 Тайлаковская;HDW1;59.24147;74.32623;93;23;20;Твёрдое
ГКС Приполярная;HFW8;63.22258;59.77850;253;23;23;Твёрдое (асфальт)
Корлики;HAE6;61.53463;82.40645;70;744;55;Нетвёрдое (грунт)
Шугур;ZC6A;60.21957;66.48647;65;630;50;Нетвёрдое (грунт)
232-й км;H697;63.17280;59.96692;124;30;30;Твёрдое
Боровая;USRB;61.24439;73.32073;34;842;20;Твёрдое (железобетон)
Новопокурская;HC0Z;60.74903;74.53397;82;29;29;Твёрдое
Причал;HAP1;61.94810;79.39768;53;;;
НПС Кума;HAF1;58.80948;65.99477;78;20;20;Твёрдое
Горноправдинск;USHP;60.06315;69.90318;33;27;27;Твёрдое
Урьевские;HB7J;61.25645;75.12160;46;30;30;Твёрдое (бетон)
Р-1010;HB9R;61.51675;70.36828;70;;;
ДНС Каменное;HAC1;61.38392;67.48758;44;20;20;Твёрдое (бетон)
Комаровы (подбаза);HAE4;60.44975;75.81552;49;;;Нетвёрдое (грунт)
Феникс-Югра;ZC2Y;60.88368;69.71080;42;;;Нетвёрдое (грунт)
Большой Ларьяк;HA84;61.07757;80.77635;57;18;18;Твёрдое
Половинка;ZDG4;60.02650;65.20038;65;460;50;Нетвёрдое (грунт)
Пирс Приобское;HB9N;61.30160;70.46820;35;24;25;Твёрдое
КС-3;HBB4;61.48937;74.94937;59;50;45;Твёрдое (бетон)
Ванзетур;HC0V;63.53445;64.82770;18;550;40;Нетвёрдое (грунт)
69 карьер;HAB9;61.71260;66.80658;46;30;30;Твёрдое (бетон)
Соровая ЦПС;HEQ0;59.75240;71.72798;74;;;Твёрдое (бетон)
Покамасовская;HAO4;61.11087;74.62073;53;20;20;Твёрдое (бетон)
94-й км;HA8Q;62.96400;62.54510;62;20;20;Твёрдое
Сосновый Бор;HB2T;61.60328;80.94397;67;540;45;Нетвёрдое (грунт)
Полигон Скол-2;HAM6;61.39493;73.20458;30;110;90;Твёрдое (асфальт)
57-й км;H017;62.87858;63.24903;147;20;20;Твёрдое
Няксимволь;USHW;62.42273;60.84473;46;580;60;Нетвёрдое (грунт)
Лосевская (Б-101);HAL7;62.81040;72.55190;88;45;45;Твёрдое
Кожурка;HGX5;60.04448;70.10243;82;20;20;Твёрдое
Малый Салым;HGX7;60.24282;70.11550;92;20;20;Твёрдое
Имитуй;HAB3;60.66602;69.09552;37;12;10;Твёрдое
Нарыкары;HBA5;63.19343;64.93780;40;22;22;Твёрдое
Аганская НРЕ;H086;62.49843;80.27478;105;;;
Пальяново;HAM5;61.64053;66.89058;30;20;18;Твёрдое
Кышик;HAD9;61.46877;68.96465;27;570;80;Нетвёрдое (грунт)
Ларьяк;USNL;61.10608;80.24965;40;940;60;Нетвёрдое (грунт)
Подбаза-169;HB7R;59.25665;73.96168;62;;;
Сибирский;HB2X;60.57648;69.79423;37;20;18;Твёрдое (бетон)
Западный Угут;HEM2;60.45900;73.62075;62;20;20;Твёрдое
Промбаза НВЭС;HD6L;60.96473;76.59797;55;20;20;Твёрдое
Базьяны;HA7T;60.82818;69.58322;58;20;20;Твёрдое (бетон)
Рейд-Выкатное;HC11;60.64337;69.55552;34;20;20;Твёрдое (бетон)
Лямина;HAG2;61.27948;71.75228;39;801;80;Нетвёрдое (грунт)
Кедровое;HA8N;59.69075;68.62663;35;20;20;Твёрдое
Летнее стойбище Владимира Сопочина;HJ2E;62.87320;74.73357;95;;;
Ярки;HA7L;60.96592;69.51650;54;;;
База Сарина;HFG7;62.24922;75.36840;65;;;
Лева;HF5A;59.72748;65.04123;49;20;20;Твёрдое (бетон)
Коровья Лайда;HAE7;61.03487;68.96520;27;;;
Сергино;USHE;62.53813;65.60480;10;30;30;Твёрдое (бетон)
Мыхльлор;HG03;62.31257;77.57045;80;25;25;Твёрдое
Цингалы;HB2M;60.16981;69.69221;32;19;14;Твёрдое (железобетон)
Кирпичный;HAD6;61.08268;68.63937;33;30;30;Твёрдое
Большие Леуши;HA86;62.18302;67.19373;85;22;22;Твёрдое
Новоаганск;USNA;61.92130;76.61178;66;1840;100;Нетвёрдое (грунт)
Карпынг-Ега;HG09;60.25183;71.95527;76;20;20;Твёрдое (железобетон)
ЦДНГ-5 КН Северная;HJ1X;62.37027;72.86283;65;20;18;Твёрдое
Старый Аган;HB3B;61.63670;75.09687;46;25;25;Твёрдое (бетон)
ПБ-3;HAP6;62.01902;80.27590;76;;;
432-й км СГП;HF94;59.57168;68.14515;48;20;20;Твёрдое (бетон)
ГП-3;HAB1;60.99777;76.35222;34;;;
Нумто;HAK9;63.51293;71.35228;98;20;20;Твёрдое
ДНС Кинямино;HB7P;60.49907;74.71022;84;20;18;Твёрдое (бетон)
ГКС Новокомсомольская;HFW5;61.54001;63.37045;135;42;35;Твёрдое
156-й км Убкуа;HDW0;59.96820;71.04345;80;15;15;Твёрдое
Реполовские Юрты;HCC6;60.68213;69.80140;37;12;10;Твёрдое (бетон)
Белорусский (Южный);HF1C;61.00172;79.42445;47;20;20;Твёрдое
Кышик;HEM0;61.45017;68.92698;30;20;20;Твёрдое (бетон)
Каюкова;HB8I;60.29033;73.82297;50;20;20;Твёрдое
Яхвартывтох;HFZ8;60.73762;71.22273;42;20;20;Твёрдое (бетон)
Юган ЛЗУ;HB4M;60.64378;73.79870;53;15;15;Твёрдое
Саранпауль;USHA;64.25283;60.92163;30;510;45;Нетвёрдое (грунт)
КС-4;HBB5;60.84658;74.17855;95;40;35;Твёрдое (бетон)
Большая Чумжинская;HJ0M;60.70509;70.01388;0;19;19;Твёрдое (железобетон)
Сухой Бор;HD66;60.16272;64.65772;67;16;14;Твёрдое
Покачи;HC2I;61.73112;75.56755;62;25;25;Твёрдое (асфальтобетон)
К46;HGY0;60.62932;69.89138;70;20;20;Твёрдое
Западный Могутлор;HAI6;62.01898;75.65573;64;20;20;Твёрдое
Промбаза;HAP5;60.99873;69.07358;30;47;32;Твёрдое (бетон)
Тайлаково ДНС;HDC9;59.03470;73.96718;92;25;23;Твёрдое
Федоровский;HE93;61.61890;73.71372;74;23;18;Твёрдое
Приобское (ЦПС);HB9P;61.10331;70.19204;54;21;21;Твёрдое
Большое Тархово;HA88;61.09855;77.17522;46;20;17;Твёрдое
Чехломей;HB2N;61.10857;80.59465;49;23;23;Твёрдое
Сытомино;HB2P;61.30700;71.30150;42;18;18;Твёрдое (бетон)
Луговской;HAH7;61.06973;68.49570;27;22;20;Твёрдое
Зенково;HC18;61.20465;69.88002;28;12;12;Твёрдое
Андра (КС);HA7H;62.52562;65.86978;86;30;20;Твёрдое (бетон)
5Х;HAQ3;61.07765;69.22418;33;;;
Маэстро;HF6G;61.25437;63.37480;110;;;
