lon,lat,reg_date,last_date_cutted,square
76.83756,61.089657,2018-02-15,2017-11-24,0.0139
76.5678,61.32198,2018-02-15,2017-12-02,0.1542
76.96579,61.153877,2018-02-15,2017-12-07,0.0065
76.694756,61.16726,2018-02-15,2017-12-07,0.1829
76.6373,61.197334,2018-02-15,2017-12-18,0.0726
76.692825,61.25295,2018-02-15,2017-12-26,0.0397
76.76353,61.26066,2018-02-15,2017-12-27,0.0872
76.45676,61.287308,2018-02-15,2017-12-29,0.1254
76.5495,61.3185,2018-02-15,2018-12-26,1.7674
76.86611,61.179253,2019-03-19,2018-01-03,0.1589
76.62194,61.18665,2019-03-19,2018-01-08,0.0021
76.86039,61.187656,2019-03-19,2018-01-11,0.0582
76.6907,61.24929,2019-03-19,2018-01-11,0.328
76.655655,61.171165,2019-03-19,2018-01-15,0.0317
76.76638,61.057087,2019-03-19,2018-01-18,0.0096
76.8336,61.030197,2019-03-19,2018-01-23,0.025
76.44728,61.177155,2019-03-19,2018-01-26,0.0297
76.92938,61.223793,2019-03-19,2018-01-28,0.1805
76.78081,61.008156,2019-03-19,2018-02-04,0.066
76.77822,61.1169,2019-03-19,2018-02-07,0.0262
76.413,61.03224,2019-03-19,2018-02-08,0.1192
76.46331,61.20373,2019-03-19,2018-02-12,0.1319
76.37886,61.04549,2019-03-19,2018-02-14,0.098
76.700714,61.243183,2019-03-19,2018-02-17,0.0998
76.58246,61.140587,2019-03-19,2018-02-20,0.0165
76.79891,61.196915,2019-03-19,2018-03-02,0.0688
76.694885,61.03617,2019-03-19,2018-03-09,0.0707
76.604774,61.155083,2019-03-19,2018-03-11,0.0343
76.87533,61.200237,2019-03-19,2018-03-14,0.019
76.4369,61.138138,2019-03-19,2018-03-15,0.196
76.87625,61.096195,2019-03-19,2018-03-24,0.0039
76.7659,61.044167,2019-03-19,2018-03-27,0.0055
76.637024,61.090183,2019-03-19,2018-03-30,0.0312
76.84932,61.02029,2019-03-19,2018-04-02,0.007
76.358505,61.20724,2019-03-19,2018-04-06,0.0263
76.778305,61.116924,2019-03-19,2018-04-10,0.0084
76.82235,61.221233,2019-03-19,2018-04-25,0.0584
76.61771,61.20917,2019-03-19,2018-05-02,0.0222
76.88595,61.165333,2019-03-19,2018-05-07,0.0121
76.878235,61.08389,2019-03-19,2018-05-08,0.0106
76.97775,61.1573,2019-03-19,2018-05-13,0.2122
76.50458,61.16202,2019-03-19,2018-05-15,0.0497
76.65878,61.14511,2019-03-19,2018-05-16,0.0159
76.46658,61.287075,2019-03-19,2018-05-16,0.0061
76.63817,61.19446,2019-03-19,2018-05-25,0.0485
76.41218,61.031925,2019-03-19,2018-05-27,0.0347
76.41176,61.045612,2019-03-19,2018-05-29,0.0052
76.61222,61.076157,2019-03-19,2018-06-04,0.0068
76.63059,61.22691,2019-03-19,2018-06-04,0.0402
76.47162,61.292088,2019-03-19,2018-06-07,0.0094
76.81215,61.070335,2019-03-19,2018-06-08,0.0309
76.54407,61.026413,2019-03-19,2018-06-09,0.0426
76.87567,61.065533,2019-03-19,2018-06-09,0.0198
76.90523,61.166805,2019-03-19,2018-06-13,0.1431
76.50827,61.019894,2019-03-19,2018-06-14,0.0547
76.52461,60.992157,2019-03-19,2018-06-15,0.0122
76.69514,61.036118,2019-03-19,2018-06-18,0.0167
76.9026,61.053898,2019-03-19,2018-06-27,0.1423
76.4866,61.15538,2019-03-19,2018-06-27,0.0298
76.8791,61.21544,2019-03-19,2018-07-03,0.0323
76.79771,61.196495,2019-03-19,2018-07-05,0.025
76.73756,61.185745,2019-03-19,2018-07-10,0.0537
76.64043,61.23373,2019-03-19,2018-07-16,0.2613
